"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
45380,162,"NER","Niger",3,"Dosso",10,"Gaya",19,"Bana","","","Commune","Commune"
45381,162,"NER","Niger",3,"Dosso",10,"Gaya",20,"Dioundou","","","Commune","Commune"
45382,162,"NER","Niger",3,"Dosso",10,"Gaya",21,"Gaya","","","Commune","Commune"
45383,162,"NER","Niger",3,"Dosso",10,"Gaya",22,"Karakara","","","Commune","Commune"
45384,162,"NER","Niger",3,"Dosso",10,"Gaya",23,"Yelou","","","Commune","Commune"
45385,162,"NER","Niger",3,"Dosso",10,"Gaya",24,"Zaboki","","","Commune","Commune"
45386,162,"NER","Niger",3,"Dosso",11,"Loga",25,"Falwel","","","Commune","Commune"
45387,162,"NER","Niger",3,"Dosso",11,"Loga",26,"Goubey","","","Commune","Commune"
45388,162,"NER","Niger",3,"Dosso",11,"Loga",27,"Sokorbe","","","Commune","Commune"
45389,162,"NER","Niger",4,"Maradi",12,"Aguié",28,"Aguie","","","Commune","Commune"
45390,162,"NER","Niger",4,"Maradi",12,"Aguié",29,"Gangara","","","Commune","Commune"
45391,162,"NER","Niger",4,"Maradi",13,"Dakoro",30,"Balder Goula","","","Commune","Commune"
45392,162,"NER","Niger",4,"Maradi",13,"Dakoro",31,"Birni N' Lalle","","","Commune","Commune"
45393,162,"NER","Niger",4,"Maradi",13,"Dakoro",32,"Kornaka","","","Commune","Commune"
45394,162,"NER","Niger",4,"Maradi",13,"Dakoro",33,"Tagris Soli","","","Commune","Commune"
45395,162,"NER","Niger",4,"Maradi",13,"Dakoro",34,"ZR Dakoro","","","Commune","Commune"
45396,162,"NER","Niger",4,"Maradi",14,"Groumdji",35,"Chadakori","","","Commune","Commune"
45397,162,"NER","Niger",4,"Maradi",14,"Groumdji",36,"Guidan Roumdji","","","Commune","Commune"
45398,162,"NER","Niger",4,"Maradi",14,"Groumdji",37,"Guidan Sori","","","Commune","Commune"
45399,162,"NER","Niger",4,"Maradi",14,"Groumdji",38,"Sae Saboua","","","Commune","Commune"
45400,162,"NER","Niger",4,"Maradi",14,"Groumdji",39,"Tibiri","","","Commune","Commune"
45401,162,"NER","Niger",4,"Maradi",15,"Madarounfa",40,"Gabi","","","Commune","Commune"
45402,162,"NER","Niger",4,"Maradi",15,"Madarounfa",41,"Madarounfa","","","Commune","Commune"
45403,162,"NER","Niger",4,"Maradi",15,"Madarounfa",42,"Mjiratawa","","","Commune","Commune"
45404,162,"NER","Niger",4,"Maradi",15,"Madarounfa",43,"Safo","","","Commune","Commune"
49314,162,"NER","Niger",1,"Agadez",1,"Arlit",1,"ZR Arlit","","","Commune","Commune"
49315,162,"NER","Niger",1,"Agadez",2,"Bilma",2,"Bilma","","","Commune","Commune"
